policy_loss,approxkl,time_elapsed,serial_timesteps,nupdates,eplenmean,eprewmean,total_timesteps,explained_variance,fps,policy_entropy,clipfrac,value_loss,score
-0.00687159,0.0114265,96721.47454833984,309248,151,226.09,125.19979466,4947968,0.9921273496001959,45,19.2711,0.162259,0.583318,125.199794654
-0.00565105,0.0111343,97479.39589428902,311296,152,224.02,125.42609635,4980736,0.9934397456236184,43,19.2467,0.158795,0.498551,125.426096328
-0.00617799,0.0114757,98139.35667443275,313344,153,218.0,122.3432181,5013504,0.9920463357120752,49,19.2174,0.1647,0.610596,122.34321812
-0.00611532,0.0114102,98915.53570270538,315392,154,218.95,122.39607655,5046272,0.9950614073313773,42,19.1642,0.160303,0.378866,122.396076593
-0.00708163,0.0114076,99610.22682905197,317440,155,223.77,127.10137064,5079040,0.9932813216000795,47,19.1527,0.16055,0.543831,127.101370646
-0.00629442,0.0109359,100347.31965708733,319488,156,230.86,132.43925627,5111808,0.9930160092189908,44,19.1174,0.155957,0.549372,132.439256247
-0.00530236,0.0111374,101003.10909748077,321536,157,234.69,137.17778913,5144576,0.9907085821032524,49,19.0588,0.159579,0.806148,137.177789129
-0.00769269,0.0109515,101758.25745534897,323584,158,243.96,140.78932005,5177344,0.9891061177477241,43,19.0516,0.154172,0.924451,140.789320055
-0.00760839,0.0114032,102458.2768228054,325632,159,242.44,140.72070439,5210112,0.9899201327934861,46,19.0635,0.160773,0.898071,140.720704393
-0.00580618,0.0113772,103268.74617695808,327680,160,242.46,142.4146378,5242880,0.9917096141725779,40,19.0311,0.160263,0.749202,142.414637768
-0.0052307,0.0116907,104076.62959861755,329728,161,253.7,155.52376018,5275648,0.9850896745920181,40,19.0242,0.165231,1.41573,155.52376018
